id,document,label,label2
44,중복곡 제외 선택해놨을 때 재생목록에 있는 곡을 차트에서 재생을 누르면 해당곡이 중복곡이라고 나오고 그 노래가 틀어지진 않더라고요,0,3
45,지니도 인스타 공유기능쫌 협약해서 올릴수있게 해주면 안되나요,0,3
46,다시 멜론으로 가고싶어져요,0,0
47,제발 이거 해주세요,0,0
48,스토리 공유기능,0,0
49,너무한 거 아닌가요 새로 올라오는 곡은 커녕 임영웅 노래만 있어서 듣기가 싫네요 차단기능 좀 만들어주세요 제발,0,3
50,에서는 차트에서 중복곡을 눌렀을 때 재생목록에서 그 곡이 있는 위치로 가서 재생되던데 폰에서도 이 기능을 넣어주시면 좋을 거 같아요,0,3
51,잠금화면에 노래 재생이름이 계속 한 곡으로만 떠요,0,1
52,로꼬의 재생목록 사라지는거 생각안하고 지웠다가 다시 다운받았는데도 그대로네여,0,1
53,내 재생목록ㅜㅜ추가 휴대폰껐다 켜는 걸 안해봤었네요,0,2
54,재시작하니깐 괜찮아졌어요 그래도 이전엔 한 번도 없던 오류니깐 한 번 봐주세요,0,2
55,지니 엄청 잘 쓰고 있어요,1,-1
56,매일 올라오는 에디터들 추천 곡도 항상 잘 듣고 뮤직허그도 애용하고 그 중에 제일은 나한테 맞는 곡 추천이어라,1,-1
57,아니 첫달 백원 이벤트 있길래 해봤는데 앱이 별로더라고요 그래서 안썼는데 알고보니까 다음달 결제를 의무로 하게 되어 있었어요,0,3
58,남아있던 일말의 긍정적인 평가마저 사라졌어요,0,0
59,절대 추천하지 않고요 왜 그러는 겁니까 밀리의 뮤직 스포티파이 유투브뮤직 애플뮤직 다 첫달 무료있고 마감되기 전에 자동으로 돈나갈 까봐 연락도 주는데 어휴,0,3
60,패드전용 어플이 나와서 굉장히 만족하고 있습니다,1,-1
61,다만 아쉬운 점은 재생화면가사와 음파가 나오고 우측에는 재생목록이 보이는 화면에서 다른 앱을 사용하고 다시 들어가면 그 화면에서 멈춰 있는 현상이 발생합니다,0,1
62,음악은 정상적으로 재생되고 다음곡으로 넘어가고 가사 또한 잘 나오는데 앨범 커버 사진과 음파가 그 자리에 그대로 있습니다,0,1
63,그리고 재생목록 화면도 그대로 있습니다,0,1
64,원래는 음악이 넘어가면 재생목록 화면도 그 음악이 있는 곳으로 넘어가지 않습니까,0,1
65,업데이트를 통해서 이런 버그 수정해주시면 감사하겠습니다,0,1
66,지니뮤직 어플 이용중 네이버 들어가면 노래 중단 되구요,0,1
67,다음곡으로 넘길시 로딩 한참 걸리고 그러다 가끔 서비스 연결 재시도 중이라고 하고ㅜㅜ 노래 잘듣던거 갑자기 못듣게 되구 진짜 너무너무 잘쓰고 있는데 그런점들때문에 답답하고 속상해요ㅜㅜ,0,1
68,그리고 한가지 기능적으로 요청드리고 싶은게 잇다면 내가 좋아요한 음악들 장르별 정리 되었음 좋겟어여,0,3
69,분할모드나 플로팅 창 모드에서도 아이폰처럼 사용할 수 있게 업데이트 해주셨으면 좋겠습니다,0,3
70,전체 플레이 리스트 곡 수도 개 정도는 담을 수 있게 늘려주세요,0,3
71,진짜 이거쓰다 다른 어플못쓸정도로 애정합니다,1,-1
72,그러니 제발 개선 해주세요ㅜㅜ,0,0
73,음질고 좋고 시스템 서비스도 좋고 재생목록에 추가된 기능도 좋아요,1,-1
74,근데 로 업데이트를 하려는데 왜 안 되는거죠ㅠㅠ,0,3
75,삭제하고 다시 깔면 재생목록 사라지잖아요ㅠㅠ,0,3
76,에 들어와서 보면 업데이트가 아니라 열기 버튼으로만 나오고 업데이트 창에 가도 안 떠있고 어떡해야 하죠,0,3
77,아이폰 단축어 자동화 재생 기능이 유튜브와 벅스에는 이미 나왔더라고요 이 기능 때문에 옮길까 생각중입니다,0,3
78,빨리 나왔으면 좋겠네요,0,3
79,가사 나오는 화면이 좀더 감성적이거나 꾸밈이 있었으면 좋겠어요,0,3
80,너무 하얀 바탕에 딱딱한 글씨만 있는거같아요 ㅠㅠ,0,3
81,음향조절하는건 너무 맘에들어요,1,-1
82,상황에따라 골라서 음향조절 가능하고 ㅎㅎ가사만 좀더 업그레이드 해주세요,0,3
83,기존에는 재생목록에서 좌측으로 스와이프하면 해당곡 삭제메뉴가 표시됐는데 업데이트되고 난 후로는 마이앨범 타임머신 등 사용하지 않는 메뉴로 이동해요 해당부분 설정으로 조정하거나 기존처럼 사용 하도록 변경 안 되나요,0,3
84,아이폰미니 사용 중인데 원래 카매라 부분은 검정색으로 처리 됬는데 업데이트 이후 카메라 부분 까지 채워 버림니다,0,3
85,그리고 동영상 화질 이랑 추가 해주세요,0,3
86,왜 백그라운드 앱으로 설정 안되고 앱 정리할때마다 노래가 꺼지는지 여쭙고 싶습니다,0,1
87,제가 설정을 못 하는 거면 어케하는지 알야주세요ㅠㅠ,0,0
88,제발요,0,0
89,차트 듣고 싶은데 한 아티스트한테 거의 점령당하다 싶이 해서 못들은지 오래됐네요,0,3
90,차단하고 차트 담으면 그 노래는 제외되는 기능 만들어주세요,0,3
91,아오 매일 하루에 한번씩 어플 실행시마다 뜨는 팝업창좀 안뜨게 설정하는 것좀 만들어주새여 관심도 없는거 귀차나 죽겠어요,0,3
92,아니 엄청 짜증나요,0,0
93,아 진짜 답글 달라는거 개빡침 자꾸 지직 거리면서 팅겨여 언제 업뎃대여 진짜 개불펴내오 공감되는 댓글에 답글달고시퍼요,0,3
94,업데이트 후 상단 노치 부분이 겹쳐서 보입니다,0,3
95,그리고 자동차에서 블투로 재생중 자기 마음대로 음악검색 기능이 켜집니다,0,1
96,기술력이 없는 건 아닐텐데 왜 이렇게만 되는지 잘 모르겠네요,0,0
97,대 음악재생어플 멜ㄹ벅ㅅ그리고 이번에 통합된 구엠넷현지니지니가 멜ㄹ벅ㅅ에 비교가 너무 될만큼 꿀리는 몇 가지이 문제들만 해결되거나 개선된다면 멜ㄹ벅ㅅ 뿐만 아니라 지금 치고 올라오는 네이ㅂ바이브까지 견제 가능 스트리밍 시 다음 곡으로 넘어가는 재생 버퍼링 기타 여러가지의 기능을 실행할 때 생기는 버퍼링과 렉의 해결,0,2
98,타사 뮤직어플 대비 불편할 정도로 많게 검열되 삭제된 곡 적은 보유수의 곡다양화되지 않은곡으로 인해예팝 해외각종장르 국내인디 애니메이션 등 타사 어플에 비해 너무나도 적은 곡의 보유 갯수유저 대부분은 대중가요를 많이 듣지만 일부 유저들은 다양한 장르를 듣는다 점을 알고 많고 다양한 곡의 보유가 필요합니다,0,4
99,타사 어플과 같이 차트조작가수가 보란듯이 나온 국내차트 특정 가수 스팸처리차단이나 블라인드 특정 소속사 스팸처리차단이나 블라인드 등 둘 중 하나의 기능은 지금 현재 필요한 시점입니다,0,3
100,차트를 조작했건 의혹이건 개인 별로 최애 차애 호 불호 갈리는 아티스트가 있기때문에 차단이나 블라인드 기능을 지니에서 타사 어플 포함 최초로 만들어주세요,0,3
101,이 기능이 별 거 아닐 것 같아도 타사 어플과 경쟁선에서 충분히 경쟁력 있다고 봅니다 아이폰 최신업데이트에 따라가지 못하는 거북이 지니물론 국내 안드로이드 유저가 많지만 안드로이드 유저 대비 아이폰 유저의 결제금액이 약간 더 높게 책정됩니다,0,3
102,이건 중요한 게 아니고 안드로이드 업데이트는 잘 따라가면서 아이폰 최신 업데이트는 따라가는 속도가 약간 지지부진한 게 사실이고아이폰 자동동기화 등 이건 아이폰유저들의 지니어플에게서 등을 돌리게끔 하는 요인입니다,0,3
103,이러한 점을 방지 예방하기 위해서는 개발자 분들이 힘을 많이 쓰셔야 될 것 같네요,0,0
104,시대에 맞게 모바일고객문의 유선고객문의와 함께 카톡고객문의나 모바일대화창을 통한 실시간 고객문의 및 답변을 들을 수 있는 고객센터의 범위의 확장 및 활용,0,3
105,이는 휘발성에 가까운 지니뮤직의 이용 뿐만 아니라 더 큰 문제는 오럴마케팅에 있어 상당히 불리한 점으로 작용됩니다,0,0
106,예를 들어 주변 지인이 뮤직어플을 추천해달라고 했을 때 대부분 맴버십초특가라는 메리트가 아닌 이상 타사어플 멜ㄹ벅ㅅ정도를 추천들 해줍니다,0,0
107,지니를 오래라면 오래라고년이면 군대를 다녀오고도 년이니써왔나고 생각 저로썬 너무 안타까운 심정입니다,0,0
108,이와 더불어 다양하고 많은 곡의 보유끝판왕 최고의 스폰서를 등에 업은 멜ㄹ 세련된 스피커와 음질 다양한 이퀄라이저음질의 제공 오랜기간 유서깊고 한 때 위기를 넘어선 고퀄리티 음질의 벅ㅅ뮤직에 당장은 넘어서라는 말을 드리는 게 아닙니다,0,0
109,그들이 가지고 있는 것들을 최소 정도는 장착한 상태에서 게임을 해봐야 대등하게 싸워보지 않을까요서비스 부문은 아무리 친절해도 불만이 생기는 부분입니다,0,0
110,그래서 제안드리코자하는 건 멜ㄹ벅ㅅ를 뛰어넘은 고객서비스를 보여 지니는 도 좋은데 장착했다는 가정하에품질도 좋고 가격도 저렴하고 혜택이벤트도 많넹과 같은 맥락의 긍정적인 점을 피력할 수 있고 그런 평가를 받을 수 있다고 생각합니다,0,0
111,이 외에도 많은 개선사항이 있지만 일단 가장 개선되었으면 하고자하는 가지만 말씀드려봤네요,0,0
112,제발 지니를 오랫동안 쓰고 있는 유저로써 지금 무섭게 치고 올라오는 네이ㅂ바이브한테 뒤쳐지는 상황이 오진 않게끔 하셨으면 합니다,0,0
113,개발자 뿐만 아니라 고객서비스담당자 직원 모두를 언제나 응원합니다,1,-1
114,지니어플 자체는 경량화된 거 같은데 곡이나 재생 곡 기능은 경량화되지 않은 아이러니함 버퍼링과 렉을 초래 해결바랍니다 지니어플을 오랫동안 쓰는 사람들은 그 동안 지니에 만든 플레이리스트나 좋아하는 아티스트곡에 단 댓글들이 추억이라 참고 견디다는 점 알아줬으면 합니다,0,2
115,진짜 지니뮤직 정말 좋아요,1,-1
116,근데 장르별 노래에 발라드가 없는게 살짝 아쉬워요 가요에 합치지말고 발라드 장르를 따로 만들어주시면 정말 완벽할거같아요,0,3
117,다운 받고 바로 데이터 없이 들을 수 있게 추가되는 거 예전에는 자동이었는데 언젠가부터 제가 직접 지우고 다시 저장곡에서 추가해야 되는 형식으로 바뀌었네요,0,3
118,진짜 이게별거아닌거같아도 너무 불편해요 ㅠㅠ,0,3
119,피드백을 해주시든지 개선을해주세요,0,3
120,타사 어플도 별 반 다를 게 없는 상황이지만 지니만 유난히특히 저는 원체 진성 지니유저라 노상관였지만 엠넷에서 이사오신 유저분들고객센터에 대해 유저분들의 불만이 많은 상황입니다,0,0
121,지니뮤직 쓰기 이전에는 멜론을 썼는데 가격면으로 부담이 되서 지니뮤직으로 갈아탔는데 음질이 너무 좋아서 년째 정착했습니다,1,-1
122,지니 체고 너무 좋아서 지인분들에게도 추천 많이 하고 다닙니다,1,-1
123,최근 다른 음악사이트들이 실시간 차트를 폐지한다는 소식을 들었습니다 하지만 지니뮤직은 폐지할 계획은 없고 실시간차트를 활용해 이용자들에게 편리한 음악 환경을 제공할 것이라는 것을 접하게 되었습니다,1,-1
124,지니뮤직이 음원사이트 위규모로서 그 규모를 계속 지키고 점유율을 더 높일 수 있는 좋은 방법이라고 생각합니다,1,-1
125,그런점에서 지니측에서 실시간 차트를 폐지하지 않는것에 대해 찬성합니다,1,-1
126,음원사이트들이 실시간 차트를 폐지하는 이유는 음악 이용자인 저도 잘 이해하고 있다만 실시간 차트를 폐지하는것은 되려 음악의 다양성이 낮아질 것 입니다,1,-1
127,모든 사이트에서 실시간 차트를 제공하고 있는 지금도 몇몇 사이트들은 신곡이 차트에서 빛을 보지도 못하고 기존 몇 곡들만이 단단한 콘크리트를 만들어 시시각각의 음원 트렌드를 반영하지 못하고 있는 한 편 지니뮤직은 음원의 순환이 굉장히 잘 이루어질뿐만 아니라 음악트렌드도 잘 반영하고 있습니다,1,-1
128,이것은 모두 지니뮤직 측에서 지금껏 쌓아온 신뢰의 이미지도 있지만 실시간차트의 존재도 한 몫 한다고 생각합니다,1,-1
129,사에서 발표한 소식을 보면 신곡은 기존위곡 보다 이용자수가 많아야 차트진입이 가능하다는 것인데 이게 과연 차트의 다양성에 큰 도움이 될지 의문입니다,0,0
130,차트에 진입할 기회조차 없어진다면 한 아티스트의 팬이 아니고서야 그 가수가 음원을 발매했다는 사실을 어떻게 알고 음원을 소비하겠습니까,0,0
131,물론 실시간 차트의 기이한 현상의 문제점은저도 명확히 인지하고있으나 실시간 차트를 유지시키는것이 소비자들에게 다양한 음악을 제공할수있는 방법입니다,0,0
132,새로 나온 인기있는 곡이 실시간차트에 있다는것을 인식한 대중들은 그날이 가수의 음원발매 일자라는 것을 몰랐더라도 해당음원을 더 편리하게 소비할 수 있습니다,0,0
133,지금도 그런 구조 이상적인 구조가 진행되고 있는 가수들이 존재하고 그들의 음악이 좋은 평을 받고있다는 점과 실시간 차트위에 신곡들만 모아놓은 페이지가 있지만 그것을 활용하기보단 실시간차트를 통해 새로운 곡이 발매했다는 것을 인식하는 경우가 훨씬 많다는 것을 고려해보면 실시간차트는 충분히 괜찮은 구조라고 생각합니다 ,0,0
134,특히나 비주류 뮤지션이나 라이징 아티스트들은 더욱 힘들어질것입니다,0,0
135,또한 그 당시엔 가치를 인정받지 못했으나 시간이 흘러 재평가되는 곡들이 순위권에서 다시 보이기 시작하는 역주행이 힘들어질것입니다,0,0
136,역주행 곡을 통해 여러 이용자들에게 다앙한 음원환경을 제공할 수 있는데 실시간 차트를 없애면 그것 또한 힘들어질것입니다,0,0
137,여러가지 복합적인 이유들을 고려해봤을때 실시간차트를 존속하는 것이 맞다고 생각합니다하지만 지금의 실시간 차트가 일부 유명아이돌들의 줄세우기 때문에 문제가 된다는 점을 알고있습니다,0,0
138,그점을 해결하기 위한 대책을 하나 제안하겠습니다,0,3
139,줄세우기에 가장 문제가 되는 수록곡들 중 일부곡들이 실시간 차트 순위에 비해 실이용자수가 낮은 경우가 허다합니다,0,0
140,이를 해결하기 위해 일이상 지난곡 중 실 이용자수로 순위를 매겼을때 실시간순위와 차이가 많이 나는 곳을 빼는것 방법을 제시합니다,0,3
141,일부 음악방송에서 몇회이상 위를 하면 더이상 위후보에서 제하는 방식처럼 말입니다,0,3
142,예를 들어 곡이 실시간 위이고 곡이 실시간 위 인데 실제 사용자수는 곡이 명 곡이 명 이렇게 차이가 많이나거나 실이용자수 기준 순위가 현저히 낮은 실시간 순위만 높은 발매 일지난 곡을 실시간차트에서 삭제하는 것입니다,0,3
143,그렇게되면 년에 개월 이상 지속도줄세우기도 완화될 것이며 그 공백을 한동안 빛을 보지못한 다른 곡들에게도 기회를 줄수 있을것이라 생각합니다,0,3
144,지니뮤직이 실시간차트를 유지한다는 반가운소식을 접하고 그 선택이 옳았다는 것에 적극적으로 의견을 표현하고 싶었으며 더 좋은 음원환경을 제공하기 위한 대안을 제시해보았습니다,0,3
145,사와 같은 방식으로 차트를 개혁하는 것은 오히려 이름이 알려진 몇몇 가수들에게만 기회가 돌아갈뿐 다른 가수들은 첫날 진입하지못하면 음원 발매 사실을 알수없어 차트에 진입하기힘들지고 결국 빛을 보지도 못한채 끝이 나게될것입니다,0,0
146,노래 재생목록이나 플레이리스트 편집하고 완료하면 다시 맨 위로 올라가는 것 좀 고쳐주세요,0,1
147,편집 완료 해도 그 자리에 있게 해주세요,0,3
148,한가지 아쉬운 점은 재생목록은 최대 곡 내 앨범 플레이리스트는 최대 곡만 가능하다는 점입니다 ㅠㅜ,0,3
149,충분히 많을 수 있지만 항상 꽉 차고 부족해서 조금 아쉽네요 ㅠㅜㅠㅠㅜㅠ,0,3
150,재생 가능 곡수가 늘어났으면 좋겠어요,0,3
151,지니 사용 년차 오전에 갑자기 오류가 엄청나길래 앱 삭제후 다시 깔았는데 저의 곡이 사라졌습니다,0,2
152,뮤직이즈마이라이브가 좌우명인 저는 어떡하죠,0,0
153,되돌려주세요,0,0
154,실행까지는 되는데음악재생미디어 재생 이런건 안먹히네요,0,1
155,이노래좀 넣어주세요,0,4
156,제발 앨범까지 내놨으면서 에브리띵 블랙을 안 넣어놓다니 진짜로 센스가 너무 없으시네 이거 넣어주시면 제가 진짜 진짜 애플 쓰는데 애플뮤직 안 쓰고 제 대한테 계속 지니만 쓰라고 유서에 적어둘게요 ,0,4
157,진짜 부탁드립니다 아 진촤 멜론에도 없어서 난리니까 지니에 넣어놓으시면 경쟁력에도 도움이 될거에요,0,0
158,제 생일이 월 일인데 아이팟 클래식을 사서 엠피쓰리 파일 넣어놓고 들으려고 하는데 에브리띵 블랙이 없으면 파일을 사는 의미가 없습니다,0,0
159,지니 선생님들 제발,0,0
160,잠금화면에서 음성명령으로든 시리통해서든 열게 해주시고 그렇게 열리면 자동재생 시작되게 좀 부탁드릴께요,0,1
161,그것만 되도 진짜 편할듯요,0,0
162,이런기능 하나만 넣어줬음 좋겠어요,0,0
163,앱 좋아요,1,-1
164,지니뮤직은 없는노래가 너무 많아요,0,4
165,그래서 노래 신청 하여 유저들이 없는노래를 신청해서 노래를 넣어준다는 기능같은거요,0,3
166,왜 계속 검색아이콘 위치가 바뀌는 거죠,0,3
167,자꾸 익숙해질만하면 위치 바뀌고 그거 한개만 빼면 너무 좋은데 그 한가지가 너무 불편합니다,0,3
168,업데이트 전에는 차트에서 듣고 싶은거 누루면 재생목록 중복이라는 창과함께 곡 리스트에 있던 순서에서 들려주는데 왜 왜 업데이트 후 맨 아래로 깔리나요,0,3
169,이거 개선해주세요,0,3
170,그리고 비밀번호 변경 창도 자주 안보였으면 해요,0,3
171,인터페이스는 지니만한게 없어서계속 지니만 사용하고 있는데안드로이드 버전엔 있던 재생목록에서초성검색기능이 아이폰버전에선 안돼서불편합니다 ㅜㅜ,0,3
172,이번 업데이트 되고 아이폰 어두운테마 안되는데 신속하게 수정 부탁드립니다 ㅜㅠ,0,0
173,대소문자 또는 띄어쓰기 조금 바뀌었다고검색해도 안나오는 수준해리스타일스 찾는데 안나오길래뭐지 했는데 이라고 치니까 나옴 융통성 좀 있자구요,0,3
174,원래는 옆으로 밀면 곡삭제 버튼이 나왔는데 이제 없어져서 너무불편해요,0,3
175,이거때문에 다른걸로 갈아타고싶을정도로요 다시 바꿔주세요,0,3
176,이상한 지니어스니 타임머신이니 기능 제대로하지도 못하고 쓰는사람도 몇명없을거같은데 그냥 재생목록 편짐 추가만 편하게할수있게 해주세요,0,3
177,새벽마다 차트 개판나는거 진짜 처음엔 그러려니했는데 이게 몇달째 보이니까 진짜 더이상은 못참을정도로 개꼴보기싫어요,0,3
178,아티스트 차단기능 제발좀요이럴꺼면 차트 대체 왜만든거야,0,3
179,거지같게 멜론으로 갈아타려는거 그냥 귀찮아서 쓰고있는데 갑자기 버퍼링이 안돼서 줄간가사 넘기는거 안될때도 많고 자잘한 오류도 엄청 많아요ㅋㅎ,0,1
180,진짜 조금만 더써보고 개선안된다 싶으면 만들어둔 플리 다버리고 새로만드는 수고를 해서라도 갈아타려고요 그리고 레이아웃 도 너무 자주 리뉴얼되서 헷갈려요,0,3
181,몇년동안 지니만 썼는데 더이상은 못참겠어요,0,0
182,개선 안하시면 사람들은 저처럼 계속 떠나고 다른 사이트에도 밀리는거에요,0,0
183,아니 그리고 리뷰에 이것저것 안된다는 문의에 개선하겠습니다,0,0
184,로 대답 일관하는 이유는 뭐에요 대체 설정에서 충분히 바꿀수 있는 내용이면 그걸 간단하게라도 설명해주는 최소한의 성의는 보이세요,0,0
185,진짜 볼수록 맘에안드네,0,0
186,잘 듣고 있었는데 언제부터인가드래이크랑 메리언힐 노래가 아예 없더라구요,0,4
187,어떻게 된 건가요,0,0
188,지니 사용중 다른 앱 이용하고 다시 지니로 돌아가거나 화면 껐다가 지니로 돌아가면 노래는 잘 나오는데 화면이 자꾸 멈춥니다,0,1
189,저만 그러는지 살짝 답답해요ㅠ,0,0
190,유료구독이 아니라면 광고 송출을 납득하겠는데 정기결제까지 했는데 매일 접속할 때마다 팝업 광고를 왜 봐야하는거죠,0,3
191,최근에 계속 댓글 달려고 하면 튕기면서 앱 꺼져요 댓 안달때도 몇번 그랬는데 노래도 멈춰지고 그때마다 듣던 노래도 처음부터 다시 들어야되고 불편합니다,0,1
192,한두번이면 그러려니 하겠는데 요즘 계속 그러니까 짜증나네요,0,0
193,벌써 몇번째인지 점검중도 아닌데 자꾸 재생 안되서 오류 뜰때마다 짜증나네요 때문에 그냥 쓰고 있는데 진짜 점점 한계가 옵니다,0,0
194,아이폰에서 앱 으로 다운해서 듣고 있는데 예전엔 다운하면 재생목록이 바로 다운 된 파일로 바꼈는데 지금은 안그렇네요 수동으로 바꾸는 방법말곤 없나요,0,3
195,앱 재시작 휴대폰 재부팅 해도 어쩌다가 갑자기 연결이 끊기거나 특히 댓글에 답댓글 달아주려고 하면 튕기네요,0,1
196,로 업데이트 하기 전에도 가끔 그랬는데 오류 확인해주세요 ㅠ,0,0
197,지니 사용한 일년 내내 가끔씩 재생버튼 누르면 렉 걸리고 노래 재생이 안 될 때가 있는데 대체 언제 고쳐지는 걸까요업데이트하면 멀쩡해질까봐 업데이트 매번 하는데 가끔씩 저러네요,0,1
198,자주 그러진 않지만 불편해요ㅜㅜ,0,0
199,임영웅 노래 사재기로 띄워 주는 것도 적당히 해야지,0,0
200,이게 몇 달 째임,0,0
201,비방 댓글도 아니고 관련 없는 댓글도 아닌데 그냥 없애고 보네,0,0
202,음악 어플이면 답게 행동하세요,0,0
203,돈이 벌고 싶으면 정당하게 행동하세요,0,0
204,재생목록에서 해당 곡을 스와이프하면 삭제이동 버튼이 나왔던고 같은데 이거는 재생목록 탭이 아예 바뀌어서 불편하네요ㅜ,0,3
205,스와이프로 탭 변경되는거 불편해요,0,3
206,업데이트하고 홈화면 못생겨졌어요 촌스러워요 그 전이 훨씬 예뻐요 차트는 왜 밑에 있어요,0,3
207,그리고 님의 뮤직 컬러는 왜 만드신거에여 뭔 듣지도 않을 노래들 픽해서 그루빙 골드 어쩌구 이러니 자리 차지한 느낌만 들고 전 별로에여 ㅜ,0,3
208,위젯 느낌으로 추가하거나 뺄수있었으면 좋겠어여,0,3
209,검색기능은 왜 밑으로 옮기셨어요,0,3
210,그리고 지금 업데이트 하신거 멜론이랑 너무 비슷해요 지니만의 개성으로 만들어서 지니 이용자를 늘릴 생각을 하셔야지,0,3
211,왜 남 뒤에서 쫄쫄쫄 따라만 가시려 하세요,0,0
212,제발 플리즈 선택곡 재생 했을때 편집 누르거나 다른 곡 추가 할 때 선택곡들 안 풀리게 해주세요 ㅜ,0,3
213,그리고 선택곡만 재생 했을때도 셔플 되게 해주세요,0,3
214,진짜 너무 불편해요 ㅠㅠㅠ,0,0
215,애플워치 리뷰도 보고 개선 하셨으니 진짜 이것도 바꿔주세요,0,0
216,너무 너무 너무 불편해요 ㅠㅠ,0,0
217,이용자라서 처음 지니 쓰기 시작했었는데 업데이트 되는 것마다 너무 좋아요,1,-1
218,별점이 이렇게 낮을 어플이 절대 아닌데 개발자 분들 이 리뷰 보고 더 힘내셨으면 좋겠네요,1,-1
219,생일날 선물이라고 받은 노래 다섯곡 비록 제 스타일은 아니었지만 ㅋㅋㅋ 기분좋게 생일날 시작했습니다,1,-1
220,매번 느끼지만 타임머신 부터 이번에 업데이트 된 까지 뮤직 어플 중엔 가장 감성적인 어플이라는 생각이 들어요,1,-1
