id	document	id
40	재생목록도 하나밖에 등록을 못하네요 재생목록 재생목록 듣다 듣다 할수있어야하며 어디까지 음악 감상을했는지 기억하고 있다	0
41	그곡부터 이어듣기가 가능했으면 좋겠습니다	0
42	너무 불편해요	0
43	멜론쓰다가 이걸로 갈아탄건데 이게 더구려 이용권 사용중인데도 계속 노래가 미리듣기처럼 좀 나오다가 다음노래로 바뀌고 해서 이게 뭔가 하고 앱에 들가보니 네트워크가 원할하지 않대	0
44	데이터로 바꿨는데도 계속 그래 장난치나 와이파이와 데이터 둘다 원할하지 않는다니	0
45	그럼 대체 뭐로 인터넷 연결해서 실행시키란거냣	0
46	특정 아티스트 제외 옵션 좀 넣어주세요	0
47	플레이리스트를 매번 만들수도 없고 신곡 위주로 듣고 싶은데 신곡도 아닌 아티스트 곡이 도배되어 하나하나 제거도 고역입니다	0
48	옵션이나 리스트에서 입력한 아티스트 노래를 제외하는 기능을 추가하면 많은 사용자들이 편할듯 합니다	0
49	멜론이나 스포티파이에서는 이미 위 기능이 있습니다	0
50	꼭 좀 부탁드립니다	0
51	재생 잘 되다가 주기적으로 서버 연결 상태가 안 좋다고 뜨네요 참고로 제 데이터는 충분하고 다른 앱은 모두 다 잘됩니다	0
52	왜 얘만 그럴까요	0
53	이것 때문에 주기적으로 버스 타고 갈때 뻘쭘하게 가네요	0
54	다른 분들도 많이 문의하시는 것 같던데 업데이트 할때는 제발 이런 부분에 더 신경써주세요	0
55	옛날보다 아주 많이 발전해서 쓸 맛 납니당 불편한 점이 하나 있는데 오래동안 안 고쳐지네요	0
56	개인 재생목록에서 일부곡만 선택곡 재생을 하면 꼭 순서대로 재생됩니다	0
57	랜덤 재생 기능을 선택곡 재생에도 추가해 주시면 훨씬 편할 것 같아요	0
58	네트워크 멀쩡한데 네트연결을 탓하며 연결이 안된다고 하던데 다른 앱들은 잘만 사용이 된단 말이죠	0
59	솔직히 이렇게 오류로 인해 많은 사람들이 음악을 못듣게 되고 그로인해 가수들에게 적잖은 피해가 가는건 알고계시는지 나비효과 말입니다	0
60	여기서 해당하지 않는 말은 아니죠	0
61	오류가 떴을 시간에 원래라면 많은 분들이 아침부터 지니 앱을 활용해 아티스트분들의 음악을 듣고 아티스트분들은 저작권료를 받습니다	0
62	허나 자꾸 이렇게 앱 관리 제대로하지 않으시고 차트 또한 조작되게 내버려두시면 많은 사람들이 피해를 보지 않겠습니까	0
63	빨리 해결하세요	0
64	아니 가장 이해가 안되는건 최근 월에 진행된 업데이트에서의 기능은 안정성 버그개선 등등 결국 오류 개선 아닙니까 이럴꺼면 업데이트 왜 하라 하는거에요	0
65	해도 오류나는건 똑같은데 말만 업데이트 인겁니까	0
66	로그인하려했는데 네트워크 연결이 안되있어 로그인불가라고하면 내가 지금보고있는 유튜브는 모바일데이터 없이 재생이 가능한 앱이었군요	0
67	구글 굉장한데음악재생 하면 결제한아이디 로그인 상태인데 분만 맛보기 재생되네요 한번씩이러는거 오래됬는데 돈받으면서 이러면 안되죠 인터넷찾아보니 나만 이러던게 아니더만 왜이러는지 앱 내에서 상황 설명이라도 공지를하던가 이유도모르고 내기계문제인줄알고 지금까지 사용 못한거 생각하면 울화통터진다	0
68	진짜 최악이야	0
69	너무 잘쓰고있어서 좋은데요 무슨네트워크가 문제라는거죠	0
70	개발자님 말대로 네트워크 문제라면 카톡이나 데이터로 사용하는 모든어플들이 안되야됩니다	0
71	근데 다 정삭적으로 사용되는데 이게 네트워크 문제라고요 지니 어플 문제 아니고요 뭐하면 이런문제들은 정확히 찾기 어렵습니다	0
72	이렇게만 말하지마시고요	0
73	운전중에 노래 다음노래로안넘어가서 다음노래 재생하려고 차량조작버튼으로 다음노래재생하면 노래 두개가 켜짐	0
74	그래서 핸드폰꺼내서 노래를 멈추고 앱을 강제종료시켜도 노래 하나는 계속 흘러나옴	0
75	폰에 이상이있나싶어서 폰을 껏다켜길 수차례반복하다 같은현상발생하고 앱을 지우니 노래가 꺼짐	0
76	멜론쓰다가 잠깐 넘어왓는데 여러모로 진짜 빡치네여ㅋㅋ	0
77	재생목록 자동 동기화 기능이 있으면 좋겠어요	0
78	가끔 어떻게 하다가 앱을 삭제하거나 해서 재생목록이 날아가는데요	0
79	그 때마다 재생 목록이 백업되어 있었으면 좋겠다는 생각을 합니다	0
80	아주 개판이네요	0
81	노래를 보통 출퇴근 시간대에 많이 듣는데 아침부터 네트워크 연결이 안된다면서 시간 가까이 못들었습니다	0
82	다른 어플들은 이시간에 전부 사용이 가능그래서 문의사항에 올리려고 하니 그런 내용을 올리는 방법도 없네요	0
83	아주 기가막히네요	0
84	엘지 요금제때문에 벅스에서 지니로 넘어왔는데 내음악 폴더 저장 옵션이랑 플레이 리스트 설정 옵션 등등 앖는게 많아서 불편하네요 ㅠㅠ	0
85	예를들어 플레이 리스트 추가시 기존리스트를 지우고 추가할건지 아님 그냥 추가할건지 맨 앞으로 할건지 맨뒤로 할건지 등등 옵션이 따로 없어서 매우 불편하네요	0
86	내가 못찾는건가	0
87	흠 내폴더 만들어서 추가 할때도 맨위로 넣을지 맨 아래로 넣을지도 좀 설정 좀 만들어 주세요	0
88	추가한 최신곡을 제일 마지막에 듣네 ㅠㅠ	0
89	노래가 나오다가 하루에 한번씩은 노래가 자동 스트리밍이 안되요 노래가 끝나면 다음노래가 나와야되는데 노래가 끝나면 그냥 어플이 멈춰요 폰을들고 노래를 다시 재생시키거나 이전다음 으로 돌려야 노래가 다시 재생되요 하루이틀일이아니고 몇달은 동일 증상이 지속됩니다 가족들도 다 지니쓰는데 제폰뿐만아니라 가족들이 다 동일증상을 겪고있어요	0
90	블루투스이어폰 꽂고 노래들을때 이렇게 멈추면 다음으로 넘어가지도않고 폰을 잡아들고 재생버튼을 다시 눌러야 다음 노래가 나와요 오류수정해주세요	0
91	와이파이를사용해도 데이터를사용해도 네트워크에연결되어있지 않다고 뜨며 재생이 안돼요 ㅡㅡ 지니 믿고써왔는데 정말 실망입니다	0
92	핸드폰전원껐다키고캐시삭제앱삭제후재설치 다해봤습니다	0
93	한번도 앱 리뷰 남긴 적이 없는데 이 앱은 너무 심해요	0
94	하루에도 번 넘게 강제종료 되고 앨범 커버는 재생중인 노래와 다른게 뜨지를 않나 플레이리스트 하나 바꾸려면 천년만년 대기하다 결국 응답없음	0
95	반복 통신사 무료라 계속 참고 썼는데 더는 못참고 갈아탑니다	0
96	밑에 푸슈슈님 리뷰처럼 저도 요즘 자동재생이 안되고 한곡 끝나고 멈춰서 꼭 핸드폰을 열어서 재생버튼을 눌러줘야합니다	0
97	자기전에 노래틀어놓고자는데 한곡 끝날때마다 멈춰서 계속 깨요ㅋㅋ오류인건지 설정이잘못된건지 ㅠㅠ	0
98	예전부터 간편하고 복잡하지 않은 느낌 때문에 계속 써오고 있습니다	1
99	확실히 년 전보다 깔끔하게 분위기가 바뀌어서 좋아요	1
100	다만 뭔가 색깔이 연하고 부드러운 느낌이 좀 없는거 같아요	0
101	눈으로 볼때 하얀테마는 하얀색이 다라 그냥 밝고 블랙 테마는 검정색이 다라 뭔가 그냥 어두운 느낌만 듭니다 뭔가 테마 색상은 연하고 눈으로 볼때 부드러운 느낌이 들면 좋겠어요	0
102	눈이 피곤하지 않도록 말이죠	1
103	가량 노래를 재생 했을때 엘범 색상으로 하여금 연하게 변하는 그런 것처럼 말이지요	0
104	위 테마 관련 느낌 말고는 너무 예쁘고 편하게 잘쓰고 있어요	1
105	늘 좋은 노래 감사합니다	1
106	지니뮤직 잘 쓰고있는데요	1
107	워치에서 폰 재생목록이 클릭이안되네요 워치 재생목록은 잘 나옵니다 인터넷 찾아보니 그건 빼먹고 개발하신거같다고 하는데 그게 작년 월 글인데 아직도 업데이트가 안된걸까요 워치쓸때 폰재생목록이 안떠서 워치재생목록과 동일하게 나오도록 개선 부탁드립니다 감사합니다	0
108	제발 음질개선좀 신경써주세요	0
109	통신사할인으로 지니뮤직을 쓰고있긴한데 진짜 음질때문세 못참겠어요	0
110	입체음향있는것도 좋고 다 좋은데 다른건 다 개선하면서 왜 음질부분은 개선할생각을 않하는건지멜론 스포티파이 유튜브뮤직에 비해 음질은 최악입니다	0
111	소리가 좀 넓게나면서 보컬과 반주가 구별되는 느낌이 들면서 소리가 맑아지고 뚜렷해지면서 시원한느낌이 나면 좋을텐데 뭐 지니뮤직을 들어보면 이런거 상관없이 걍 반주고 보컬이고 조금씩 짬뽕되서 귀에 소리지르며 소리를 때려밖은 느낌밖에 안드네요 조금이라도 이부분에 신경써서 개선해주시면 대만족일거 같습니다	0
112	입체음향 효과가 있어도 아무리 기본적인 베이스가 안좋으면 소용없어요	0
113	진짜 다른 음원사이트는 음악이 시원시원한데 지니는 한분들으면 비행기에 타있는듯 먹먹한 느낌이 많아요	0
114	제발 음질개선에 신경많이 써주세요	0
115	다른기능에 불만전혀없고 업데이트도 잘하고계시니까 음질개선좀요 제발게다가 베이스가 개판이에요	0
116	별 0개는 없나요	0
117	어플 실행 시 자동으로 사운드검색이 실행됨 검색종료해도 바로 다시 실행 무한루프에 빠짐	0
118	어플 내 고객센터에 문의조차 못함 나름 최신폰 울트라인데 고객센터 전화하니 개발팀에 전달 안해준다고 하네 ㅎㅎ	0
119	노트을 사용하고있습니다	0
120	어느 순간 갑자기 이 앱은 기기와 더이상 호환하지않습니다 라고 뜨고 업데이트가 아예 안되더라구요	0
121	어플을 지웠다가 다시 설치하려고 플레이스토어에 들어와봐도 다운이 안돼서 다른 어플 설치 어플을 통해 설치했네요	0
122	왜이러는건지 궁금합니다	0
123	오류가 너무 많이 나고 재생목록도 제가 넣은 순서가 아니라 순서도 다르게 지정되네요 플레이 버튼 눌렀는데 몇 번이나 일시정지되고 앱이 너무 안들어가집니다 제발 점검부탁드립니다	0
124	오디오를 듣다 보면 자꾸 지니뮤직 자체에 렉이 걸려 터치도 정지도 재생도 안 되는 현상이 발생합니다	0
125	어떻게 좀 해주세요	0
126	프로그램들은 넘 좋은데 이런 현상 때문에 감상이 여간 어려운 게 아닙니다	0
127	갤럭시 워치 단독재생이 갑자기 오늘 안되는것 같습니다	0
128	핸드폰 없이 워치만 착용한 상태에서 앱을 켜니 로그인하려면 워치랑 연결하라더군요	0
129	분명 어제도 밖에서 운동할때 듣고있었는데확인해보려 집에서 폰과같이 워치로 음악 듣고있는 중에 핸드폰과 연결을 해제하니 로그인이 안된상태라 분 미리듣기만 가능하다고 뜹니다	0
130	로딩속도 너무 느림 지니뮤직 틀자마자 재생버튼 누르면 재생안됨	0
131	플레이리스트 곡도 안되는거 로딩한다고 차트 로딩한다고 한 초 매번 기다려야되는거 너무 불편해요	0
132	지니 사용을 년 넘게하면서 느낀점 정확히 말하자면 문제점 올립니다 이는 지니가 심각히 깨닫고 수정해야할 부분입니다	0
133	첫째 블루투스 연결 후 어플을 실행시키면 간헐적으로 두개의 노래가 나옵니다 즉 어플이 실행안되어도 자동적으로 폰에서 노래가 실행되어 휴대폰을 끄지 않는 이상 문제점을 해결할 수가 없습니다	0
134	최악인건 이문제가 수개월 전부터 지속되었고 단순 블루투스 문제인줄 알았지만 지니 어플의 오류사항이란걸 리뷰보고 알았네요	0
135	더욱 이해가 안되는건 해결의지가 없어보이는 지니의 운영능력을 보게되네요	0
136	둘째 네트워크 오류로 노래 재생시 한곡만 나오고 정지가 됩니다	0
137	그래서 어플 확인하면 네트워크가 불안정하다고 하네요	0
138	다시 재생버튼을 손가락으로 꾸욱 눌러줘야 재생해주네요	0
139	이 두가지 문제가 있는데 정말 이해가 안되는건 단순 몇일 몇주가 아닌 수개월최소개월동안 지속되어 왔다는겁니다	0
140	마지막으로 지니 이용권을 오늘 끊고 최악의 리뷰로 씁쓸함을 달래봅니다	0
141	리스트 내에서 구간 선택해서 반복듣기가 되는게 제일 좋습니다 하지만 잠금화면에서 리스트 컨트롤이 안되는게 정말 너무 불편하구합니다	0
142	그리고 잠금화면에서 가사창 열어놓으면 화면꺼짐	0
143	막아줬으면 합니다	0
144	다른 앱쓸때는 당연히 화면 잡아줘서 못느끼던건데 잠금화면 상태에서 편의성이 너무 떨어져서 고민 중입니다	0
145	음악듣는건 다 거기서 거기니까 조작편의성에 있어서 고민을 좀 해보셔야 하지 않을까 싶습니다	0
146	아 그리고 리뷰보다 플로팅가사가 있다는 얘기가 있어서 지니 선택한 것도 있는데 없네요	0
147	대체 파일과 파일을 보는데 왜 와이파이나 데이터가 필요하죠	0
148	안에 그 기능이 있는데 그걸 들어가려면 데이터가 필요하다니 지니는 음악플레이어의 기능을 제공하는 앱이 아닌가요 맨날 데이터 차단이 설정되어있다는 말 뜨고 와이파이가 한칸이 뜨면 그거 로딩한다고 음악도 안틀어줘요	0
149	음악을 트는게 가장 기본적으로 실행되어야하는거 아닌가요 다운받은 음악인데 싸게 들을수 있는 기간동안 편한걸 느껴야 그 기간이 끝나도 제값 주고 계속 이용을 할텐데 솔직히 말하면 아직 싸게 돈 내고 들을수 있는 기간이 몇달 더 남았는데도 종종 끊고 싶은 충동을 느껴요	0
150	로그인 계속 말썽이네요	0
151	다른기기에 연결어쩌구 불편하구요	0
152	그리고 노래시작끝 페이드인아웃좀끌수있으면 좋겟어요	0
153	그리고 전체적으로 화면전환효과때문에 어플이 너무 느린거마냥 느껴져요	0
154	아에 싹없애고 빠릿하게만드는게 사용자입장에서 편할수도 있을꺼같아요	0
155	선택가능하게 하면 더좋구요	0
156	마지막으로 리모컨애서 번누르면 다음곡인데 번누르면 이전곡틀어졌으면 좋겠습니다	0
157	잠금화면에서 노래넘기는건 좋아졌네요	1
158	지니어플의 더 나은 발전을 기원합니다	1
159	곡을 플레이리스트에 담으면 그게 바로 반영되서 듣고 있는 플래이리스트로 들었으면 좋겠어요	0
160	추가하고 추가된 리스트로 다시 들으려면 플레이리스트를 또 변경해야되거든요	0
161	그리고 플래이리스트에서 곡 삭제하는 기능이 너무 불편합니다	0
162	엠넷에서 너무 당연하게 편하게 사용했었나봐요 아침 모닝콜 기능은 좋아요	1
163	근데 어쩌다 낮은 확률로 화면에 모닝콜이라 안들어오는데 노래는 안꺼지고 계속 나옵니다 끌수도 없고 결국 재부팅해야 꺼지더라구요	0
164	아무튼 플래이리스트 관련 수정해주시길 바라고 엠넷에서 듣던 음원이 지니에는 없는 경우도 있네요	0
165	아쉬워요ㅠㅠ	0
166	앱이 너무 불편해요	0
167	재생목록에서 노래를 추가해 듣고 듣는 도중 다운을 받으면 저장곡만 듣기에 방금 다운받는 노래는 왜 자동으로 추가 되지 않나요 보관함에 들어가서 또 일일이 추가해야하는게 너무 이해가 되지 않아요	0
168	그리고 데이터 때문에 주로으로 다운받아서 듣는데요 곡 순서때문에 마이앨범을 이용하려고하면 왜 마이앨범에서는 다운받은 곡도 스트리밍데이터 연결이 필요한 상황으로 재생이 되는지 이것 또한 이해되지 않습니다	0
169	전체적으로 지니앱은 가독성이 너무 떨어지고 인터페이스가 너무 불편하고 지저분하며 직관적이지 않네요 사용하는데 늘 불만이고 불편합니다	0
170	쓸데없는게 화면을 너무 많이 가리는것 같아요	0
171	재생목록 들어갔을때 현재 재생중인 노래가 뜨는 칸이 너무 커요	0
172	위쪽 위젯도 너무 큽니다	0
173	아예 없애거나 줄여줬으면 좋겠어요	0
174	노래 듣는 화면에서 재생목록으로 넘어갈수 있으니까 재생목록에서 노래뜨는 칸 없애고 뒤로가기 누르면 다시 노래 듣는 화면이 뜨는식으로 바꾸면 좋을것같아요	0
175	전체적으로 재생목록에 곡 수가 곡은 보이면 좋겠어요	0
176	그리고 듣기시에 재생목록 추가방법과 재생목록에 추가 했을시에 재생목록 추가방법을 세부적으로 나누었으면 좋겠어요	0
177	바로 듣기를 누르면 재생 중인 곡 다음에 추가하고 재생목록에 추가를 누르면 맨 아래에 이런식으로요일일이 재생목록 만들라니까 힘들어요	0
178	가뜩이나 보이는 곡수도 적어서 더 힘듭니다	0
179	그리고 재생목록 편집에서 곡 위치 바꿀때 곡을 맨 위로 올리면 이동하는 속도 좀 더 빠르게 해주면 좋을것같아요	0
180	정말다좋습니다	1
181	한가지 업데이트 해주셨으면 하는 마음에 추천해드려요	0
182	아마 이것만으로도 모든기종 이용자분들이 지니를 찾게될수도 있습니다 ㅎ	0
183	사진을 못올리네요 위젯 업데이트 요청인데요	0
184	바탕화면 맨위에 지니플레이어 바 설정후 설정한위젯 바로 아래 로 크게 늘리면 바로 재생목록이 보이는 기능 추가 해주셨으면 해요	0
185	스크롤 가능하며 음악선택가능 쉽게보면 버전 플레이 재생목록 상단에있고 아래 음악목록이 보이고 선택 바로 듣기가능할수있게요 부탁드려요	0
186	제발 그리고 주말저녁에 점검은 아니지 않나요 점검이라도 저장된 노래도 플레이가 안되는건 무슨경우죠 검색이 안되는건 이해가 되도 플레이어 목록에 넣어둔 곡들은 재생이가능캐 해줘야죠 엄청이상하네	0
187	업데이트 이후 상단바 플레이어를 종료하려고 할 때 접힌 상태에서는 도 없고 옆으로 밀어서도 없애지 못하는 게 너무 불편합니다	0
188	그리고 상단바 앨범아트 표시방식이 바뀐 건 좋은데 지니에서 받은게 아닌 개인적으로 가지고 있는 기기저장곡은 앨범아트가 아예 표시되지 않는 것이 아쉬워요	0
189	다른 앱은 기기저장곡도 앨범아트가 잘 나오고 전에는 안되다가 최근 업데이트로 음악 정지상태에서는 밀어서 종료할 수 있게 되었는데 지니도 차차 개선해 주셨으면 합니다	0
190	재생해서 듣는 사람은 너무 불편합니다	0
191	인터넷 끄고 앱들어가면 자꾸 로그인하라고 알림창이 뜨고 저장했던 곡들은 앨범커버가 안뜹니다	0
192	그래서 곡의 구분이 힘들고 저장하다가 툭하면 오류가 뜨면서 저장이 안됩니다	0
193	세네번은 해야 그제서야 저장이 되는데 이런 오류는 도대체 언제쯤 고쳐주실런지 그리고 재생목록에서 노래의 앨범 메뉴를 들어가려고 하면 옆에 스크롤 바와 겹쳐서 안눌릴때가 너무 많습니다	0
194	너무 불편합니다	0
195	제발 좀 고쳐주세요	0
196	이 오류들 때문에 벅스로 갈아탈 마음이 굴뚝같습니다	0
197	지금 너무 느려요	0
198	지니뮤직이 이제 삼성뮤직이 로컬기반 재생기에서 스트리밍 서비스를 하는 것 처럼 로컬음악 재생에도 신경을 써서 기본 음악 재생기를 대체할 수 있으면 더욱 점유율을 높일 수 있을 것 같습니다.	0
199	삼성뮤직처럼 재생목록 무제한으로 풀어야 로컬음악 전곡 재생이 가능합니다	0
200	곡 폴더 음악가 장르 등으로 로컬 음악을 재생목록 한계 없이 안드로이드오토에서도 재생가능하게 하면 좋을 것 같습니다	0
201	추가로 제안드리자면 벅스와 같이 와이파이 플레이도 지원 가능하면 더욱 완벽한 음악어플이 될 것 같습니다	0
202	문의를해둔상태인데 여기가 답변이 더빠를것같아 재문의합니다	0
203	엠넷에서 넘어왔는데 익숙하지않은것도 있지만 전반적으로 불편합니다	0
204	저는 플레이리스트를 활용해서 음악을 듣는편인데 예를 들어 발라드와 댄스를 분류해서 그날그날 기분에따라듣는다던가 하는 근데 곡을 플레이리스트에 담으면 맨밑으로 담아지더라구요	0
205	어찌저찌 뒤져보다 설정을찾아서 맨위로 설정했음에도 불구하고 플레이리스트에 적용되는 항목은 아닌지 계속 맨밑에 담아집니다 처음엔 곡이 안담아진줄 알았습니다	0
206	플레이리스트 자체도 전체곡보기를 또 눌러야 전체가보여서 맨밑에까지 내려서 담은곡 위로보내서 듣고 제가 설정을 못찾는건지ㅠ 또 곡을 담을때 편집순으로 설정을 해두면 최근담았던 리스트가 제일 위잖아요	0
207	다시 담을때 또 설정을 해야되요 제가 설정한걸로 고정이좀 됐음	0
208	하지만 현재는 로컬음악 재생하기 찾아가기가 너무 함들고 랑 을 분리해놓은게 더 불편하고 재생목록도 곡이상 안되는것도 문제입니다	0
209	마지막으로 플레이리스트로 들을때 목록에서 곡 삭제기능이 없는게 맞나요 삭제하려면 여러과정을 거쳐서 삭제해야하니더 많은데일단여기까지문의좀할게요	0
210	유플러스 사용 폰은 노트 플러스 사용중임	0
211	지니 어플도 최신업데이트 다했음	1
212	노래 재생시 블루바가 재생되다가 초씩 되감기됨	0
213	음악은 제대로 출력 되지만 블루바와 가사가 음악의 싱크를 못맞춤 문제 해결 바람 노트 플러스 사용중이라고 명시 해둠	0
214	정확한 사양은 알아서 찾아보고 자동응답기 할꺼면 답변하지마셈	0
215	다음과 같은 오류가 열흘이 넘었습니다	0
216	답글에서 일부 이용자 라고 표현했던데 제가 보기엔 대다수 같네요 잠금화면에서 곡 정보가 제대로 나오지 않음	0
217	폰에 저장된 노래만 곡 정보가 나오고 스트리밍으로 듣는 곡은 정보가 나오지 않음	0
218	이건 아주 많이 불편하진 않아요	0
219	안드로이드 오토에서도 마찬가지로 핸펀에 저장된 곡만 곡 정보가 나오고 스트리밍은 곡 정보가 나오지 않음	0
220	이건 그냥 조금 불편한 정도가 아니라 정말 많이 불편합니다	0
221	스트리밍으로 계속 듣게 되면 곡정보가 안나오기 때문에 플레이포즈 버튼과 앞뒤 탐색버튼 전체반복 셔플 등의 재생방법 설정 버튼도 안 보여서 상상 이상으로 불편합니다	0
222	빨리 수정되지 않으면 지니 해지하고 다른데로 넘어가려고 합니다	0
223	위젯을 통해 음악재생을 시도하면 연결이 원활하지 않아 재시도합니다 라는 오류가 나고 회 재시도 이후엔 네트워크 연결이 되어있지 않다는 오류가 납니다 멀쩡하게 다른 네트워크 기능은 작동하는데 말이죠	0
224	지니뮤직 어플을 직접 실행시키면 바로 음악이 실행이 됩니다	0
225	매우 치명적인 문제인데 리포트 하신 분이 없는건지 아직 해결을 못하신건지 처음 사용해보는 앱인데 이런 허무맹랑하고 치명적인 오류를 겪고 매우 크게 실망합니다	0
226	업데이트 이후로 오류가 너무 많네요	0
227	업데이트 전에는 인터넷 연결 안해도 잘만 나오던 노래가 안나온다던가 간혹 와이파이 연결 잘 돼있는데도 앱 구동이 멈춘다던가 하는 오류가 너무 잦아요	0
228	또 에 있던 노래들은 앨범 커버가 이상하게 바뀌고 플레이리스트에서 앨범커버 슬라이드하면 다음 곡 미리 보여주는 서비스도 이상하게 앨범 커버 하얗게 뜨고 노래제목과 가수도 나오질 않은 오류가 제일 잦아요	0
229	버그가 너무 심해요	0
230	운전할때 주로 듣는데 다음곡으로 넘기거나 앞에곡 다시들으려고 넘기면 계속 재생 안되고 다음곡으로 넘어가고한참을 혼자 계속 재생못하고 다음곡으로 넘어가네요장거리운전할때는 진짜 화나고 답답해요	0
231	재생목록에곡이정상적으로재생되지않아 재생을 중지한다고 뜨고 재생중 문제가 발생하여 다음곡을 재생합니다	0
232	이런 문구가 뜹니다	0
233	제발 이렇게 뜨는 오류좀 손봐주세요	0
234	할 수만 있다면 다운그레이드하고싶네요	0
235	항상 어플 잘 사용하고 있습니다	1
236	그런데 업데이트 후에 재생목록에 들어 있는 곡을 차트나 검색으로 재생하려고 하면 설정에서 수정하라는 멘트가 뜨면서 재생이 되지 않습니다	0
237	설정에서 해당 기능을 끄면 중복곡이 제거되지 않아 굉장히 불편합니다	0
238	이번 업데이트로 너무 불편해졌네요	0
239	차트나 검색을 통해 중복곡을 재생하려고 시도할 때 재생목록에는 추가되지 않지만 재생은 되게 하도록 기존의 방식으로 바뀌었으면 좋겠습니다	0
240	빠른 개선 부탁드립니다	0
241	갤럭시 워치 사용자입니다	1
242	사용중이었는데 통합되면서 넘어왔습니다	1
243	일단 가장 불편한건 갤럭시 워치에서 엠넷은 재생목록을 볼 수 있었는데 지니는 볼 수가 없네요	0
244	반드시 개선되어야 할 것 같습니다	0
